month,total_final _decisions,cumulative _paid
2021-07-01,78,816
2021-08-01,69,838
2021-09-01,66,864
2021-10-01,83,885
2021-11-01,98,914
2021-12-01,76,940
2022-01-01,116,961
2022-02-01,78,991
2022-03-01,117,1018
2022-04-01,68,1034
2022-05-01,111,1071
2022-06-01,132,1100
2022-07-01,143,1164
2022-08-01,130,1217
2022-09-01,119,1242
2022-10-01,140,1302
2022-11-01,178,1376
2022-12-01,157,1416
2023-01-01,196,1490
2023-02-01,204,1536
2023-03-01,249,1603
2023-04-01,210,1638
2023-05-01,339,1693
2023-06-01,370,1771
2023-07-01,262,1830
2023-08-01,282,1896
2023-09-01,244,1957
2023-10-01,267,2009
2023-11-01,265,2080
2023-12-01,262,2149
2024-01-01,287,2237
2024-02-01,268,2310
2024-03-01,303,2386
2024-04-01,242,2461
2024-05-01,212,2522
2024-06-01,208,2579
2024-07-01,207,2638
2024-08-01,161,2702
2024-09-01,183,2769
2024-10-01,207,2825
2024-11-01,182,2896
2024-12-01,165,2973
2025-01-01,189,3074
2025-02-01,188,3155
2025-03-01,148,3242
2025-04-01,129,3291
2025-05-01,127,3335
2025-06-01,161,3389
2025-07-01,179,3435
2025-08-01,171,3500
2025-09-01,158,3604
