 ,England and Wales,Age (6 categories) Code,Age (6 categories),Ethnic group (20 categories) Code,Ethnic group (20 categories),Year of arrival in the UK (11 categories) Code,Year of arrival in the UK (11 categories),Observation
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,1,Born in the UK,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,5,Arrived 1991 to 2000,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,6,Arrived 2001 to 2010,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,7,Arrived 2011 to 2013,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,8,Arrived 2014 to 2016,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,9,Arrived 2017 to 2019,0
K04000001,England and Wales,1,Aged 15 years and under,-8,Does not apply,10,Arrived 2020 to 2021,0
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",-8,Does not apply,0
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",1,Born in the UK,169941
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2,Arrived before 1971,0
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3,Arrived 1971 to 1980,0
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4,Arrived 1981 to 1990,0
K04000001,England and Wales,1,Aged 15 years and under,1,"Asian, Asian British or Asian Welsh: Bangladeshi",5,Arrived 1991 to 2000,0
